id,timestamp,query_name,metric_name,metric_value,labels,cluster_name,namespace,pod_name,node_name,ml_use_cases,collection_metadata,created_at,source
1,2026-05-24 12:00:21,net_latency,http_requests_total,44987.595,"{""pod"":""auth-gateway-7b28269-a7447"",""ns"":""identity"",""scenario"":""healthy""}",prod-use2-eks,identity,auth-gateway-7b28269-a7447,ip-10-37-142-3.use2.compute.internal,"[7,2]","{""collector"":""sysdig"",""interval"":30}",2026-05-24 12:00:21,sysdig
2,2026-05-24 12:00:21,cpu_usage,container_cpu_usage_seconds_total,82922.485,"{""pod"":""payments-worker-bff7264-02c23"",""ns"":""payments"",""scenario"":""healthy""}",prod-use2-eks,payments,payments-worker-bff7264-02c23,ip-10-17-79-110.use2.compute.internal,"[13,4]","{""collector"":""sysdig"",""interval"":30}",2026-05-24 12:00:21,sysdig
3,2026-05-24 12:00:21,net_latency,container_cpu_usage_seconds_total,76816.52,"{""pod"":""search-api-8ca0b98-505ff"",""ns"":""search"",""scenario"":""healthy""}",staging-use2-eks,search,search-api-8ca0b98-505ff,ip-10-20-108-255.use2.compute.internal,[2],"{""collector"":""sysdig"",""interval"":30}",2026-05-24 12:00:21,sysdig
4,2026-05-24 12:00:21,mem_usage,tcp_established,8442.179,"{""pod"":""inventory-svc-1d6f570-1b50d"",""ns"":""inventory"",""scenario"":""memory_leak""}",staging-use2-eks,inventory,inventory-svc-1d6f570-1b50d,ip-10-8-126-134.use2.compute.internal,"[4,13,3]","{""collector"":""sysdig"",""interval"":30}",2026-05-24 12:00:21,sysdig
5,2026-05-24 12:00:21,net_latency,http_requests_total,20909.118,"{""pod"":""auth-gateway-ebb2b70-575e4"",""ns"":""identity"",""scenario"":""healthy""}",prod-usw2-eks,identity,auth-gateway-ebb2b70-575e4,ip-10-12-35-23.usw2.compute.internal,[4],"{""collector"":""sysdig"",""interval"":30}",2026-05-24 12:00:21,sysdig
6,2026-05-24 12:00:21,http_5xx,http_requests_total,70384.087,"{""pod"":""payments-api-58c5e74-26d34"",""ns"":""payments"",""scenario"":""memory_leak""}",prod-use2-eks,payments,payments-api-58c5e74-26d34,ip-10-6-44-216.use2.compute.internal,"[7,2,1]","{""collector"":""sysdig"",""interval"":30}",2026-05-24 12:00:21,sysdig
7,2026-05-24 12:00:21,net_latency,container_cpu_usage_seconds_total,26821.905,"{""pod"":""search-api-61d1d17-0014f"",""ns"":""search"",""scenario"":""healthy""}",prod-use2-eks,search,search-api-61d1d17-0014f,ip-10-37-142-3.use2.compute.internal,"[13,7]","{""collector"":""sysdig"",""interval"":30}",2026-05-24 12:00:21,sysdig
8,2026-05-24 12:00:21,mem_usage,container_memory_working_set_bytes,18820.879,"{""pod"":""checkout-web-c343d41-6a8d2"",""ns"":""checkout"",""scenario"":""oom_crashloop""}",prod-use2-eks,checkout,checkout-web-c343d41-6a8d2,ip-10-40-57-12.use2.compute.internal,"[3,4,13]","{""collector"":""sysdig"",""interval"":30}",2026-05-24 12:00:21,sysdig
9,2026-05-24 12:00:21,http_5xx,container_network_receive_bytes_total,66698.299,"{""pod"":""payments-api-2729261-453da"",""ns"":""payments"",""scenario"":""disk_pressure""}",staging-use2-eks,payments,payments-api-2729261-453da,ip-10-20-108-255.use2.compute.internal,[2],"{""collector"":""sysdig"",""interval"":30}",2026-05-24 12:00:21,sysdig
10,2026-05-24 12:00:21,cpu_usage,container_network_receive_bytes_total,10542.04,"{""pod"":""orders-worker-8482791-f2d9f"",""ns"":""orders"",""scenario"":""disk_pressure""}",prod-usw2-eks,orders,orders-worker-8482791-f2d9f,ip-10-14-16-161.usw2.compute.internal,[13],"{""collector"":""sysdig"",""interval"":30}",2026-05-24 12:00:21,sysdig
11,2026-05-24 12:00:21,restart_rate,kube_pod_container_status_restarts_total,60520.558,"{""pod"":""session-store-28ebc77-cf7c8"",""ns"":""identity"",""scenario"":""disk_pressure""}",prod-usw2-eks,identity,session-store-28ebc77-cf7c8,ip-10-14-16-161.usw2.compute.internal,[3],"{""collector"":""sysdig"",""interval"":30}",2026-05-24 12:00:21,sysdig
12,2026-05-24 12:00:21,mem_usage,container_fs_usage_bytes,7072.549,"{""pod"":""recommendation-c460126-52814"",""ns"":""search"",""scenario"":""healthy""}",prod-use2-eks,search,recommendation-c460126-52814,ip-10-37-142-3.use2.compute.internal,"[2,3,7]","{""collector"":""sysdig"",""interval"":30}",2026-05-24 12:00:21,sysdig
13,2026-05-24 12:00:21,cpu_usage,container_network_receive_bytes_total,40384.657,"{""pod"":""notifications-b036879-82982"",""ns"":""notifications"",""scenario"":""oom_crashloop""}",dr-use1-eks,notifications,notifications-b036879-82982,ip-10-21-57-150.use1.compute.internal,[2],"{""collector"":""sysdig"",""interval"":30}",2026-05-24 12:00:21,sysdig
14,2026-05-24 12:00:21,cpu_usage,kube_pod_container_status_restarts_total,24811.067,"{""pod"":""coredns-37f1521-4cd3d"",""ns"":""kube-system"",""scenario"":""network_latency""}",prod-usw2-eks,kube-system,coredns-37f1521-4cd3d,ip-10-12-35-23.usw2.compute.internal,"[3,7,13]","{""collector"":""sysdig"",""interval"":30}",2026-05-24 12:00:21,sysdig
15,2026-05-24 12:00:21,cpu_usage,container_cpu_usage_seconds_total,80546.814,"{""pod"":""cart-svc-51c2594-4d271"",""ns"":""checkout"",""scenario"":""memory_leak""}",prod-use2-eks,checkout,cart-svc-51c2594-4d271,ip-10-32-13-101.use2.compute.internal,"[3,13,1]","{""collector"":""sysdig"",""interval"":30}",2026-05-24 12:00:21,sysdig
16,2026-05-24 12:00:21,cpu_usage,container_memory_working_set_bytes,81626.931,"{""pod"":""ledger-svc-f4a6d64-16dde"",""ns"":""ledger"",""scenario"":""cpu_throttle""}",prod-use2-eks,ledger,ledger-svc-f4a6d64-16dde,ip-10-24-49-183.use2.compute.internal,"[13,4]","{""collector"":""sysdig"",""interval"":30}",2026-05-24 12:00:21,sysdig
17,2026-05-24 12:00:21,mem_usage,container_network_receive_bytes_total,86359.721,"{""pod"":""indexer-b07f520-eaf04"",""ns"":""search"",""scenario"":""healthy""}",prod-use2-eks,search,indexer-b07f520-eaf04,ip-10-17-79-110.use2.compute.internal,"[7,3]","{""collector"":""sysdig"",""interval"":30}",2026-05-24 12:00:21,sysdig
18,2026-05-24 12:00:21,http_5xx,container_memory_rss,70796.267,"{""pod"":""search-api-8352074-5b766"",""ns"":""search"",""scenario"":""disk_pressure""}",prod-usw2-eks,search,search-api-8352074-5b766,ip-10-14-16-161.usw2.compute.internal,"[3,13]","{""collector"":""sysdig"",""interval"":30}",2026-05-24 12:00:21,sysdig
19,2026-05-24 12:00:21,net_latency,http_requests_total,42863.027,"{""pod"":""orders-api-cbca488-26609"",""ns"":""orders"",""scenario"":""oom_crashloop""}",prod-usw2-eks,orders,orders-api-cbca488-26609,ip-10-12-35-23.usw2.compute.internal,"[1,2,13]","{""collector"":""sysdig"",""interval"":30}",2026-05-24 12:00:21,sysdig
