id,timestamp,container_memory_used,container_memory_limit,memory_utilization_ratio,memory_growth_rate,container_cpu_used,container_cpu_limit,cpu_utilization_ratio,cpu_throttled_periods,cpu_throttling_ratio,pod_ready_count,pod_total_count,pod_ready_ratio,node_memory_capacity,node_cpu_capacity,node_memory_pressure,services_up_count,services_total_count,service_availability_ratio,cluster_name,namespace,collection_source,created_at
1,2026-05-24 11:59:47,301914182,697303040,0.433,-0.00283,0.4931,1.0,0.4931,0,0,5,5,1.0,68719476736,16.0,false,15,15,1.0,prod-usw2-eks,identity,sysdig,2026-05-24 11:59:47
2,2026-05-24 11:59:47,1046478848,2092957696,0.5,0.017143,0.0827,0.375,0.2205,0,0,2,2,1.0,68719476736,16.0,false,17,17,1.0,prod-use2-eks,identity,sysdig,2026-05-24 11:59:47
3,2026-05-24 11:59:47,1161041120,2092957696,0.5547,0.030632,0.1171,0.5,0.2342,0,0,2,2,1.0,68719476736,16.0,false,18,18,1.0,prod-usw2-eks,identity,sysdig,2026-05-24 11:59:47
4,2026-05-24 11:59:47,1073741824,2147483648,0.5,0.015199,0.2201,0.75,0.2934,0,0,2,2,1.0,68719476736,16.0,false,18,18,1.0,prod-use2-eks,payments,sysdig,2026-05-24 11:59:47
5,2026-05-24 11:59:47,625368151,1073741824,0.5824,0.033972,0.3288,0.75,0.4384,0,0,5,5,1.0,68719476736,16.0,false,16,16,1.0,prod-use2-eks,identity,sysdig,2026-05-24 11:59:47
6,2026-05-24 11:59:47,132847810,348127232,0.3816,0.003058,0.18,0.3,0.6,0,0.0,4,4,1.0,68719476736,16.0,false,9,9,1.0,prod-use2-eks,platform,sysdig,2026-05-24 11:59:47
7,2026-05-24 11:59:47,356929533,805306368,0.4432,0.03179,0.3499,1.0,0.3499,0,0,4,4,1.0,68719476736,16.0,false,15,15,1.0,prod-use2-eks,identity,sysdig,2026-05-24 11:59:47
8,2026-05-24 11:59:47,348651520,697303040,0.5,0.01711,0.4,0.8,0.5,0,0,2,2,1.0,68719476736,16.0,false,14,14,1.0,staging-use2-eks,checkout,sysdig,2026-05-24 11:59:47
9,2026-05-24 11:59:47,2080717671,4294967296,0.4845,0.036529,0.4386,1.2,0.3655,0,0,2,2,1.0,68719476736,16.0,false,15,15,1.0,prod-use2-eks,search,sysdig,2026-05-24 11:59:47
10,2026-05-24 11:59:47,587151697,1073741824,0.5468,0.000586,0.3931,0.8,0.4914,0,0,5,5,1.0,68719476736,16.0,false,10,10,1.0,prod-usw2-eks,checkout,sysdig,2026-05-24 11:59:47
11,2026-05-24 11:59:47,845571686,1207959552,0.7,0.029921,0.2361,0.6,0.3936,0,0,4,4,1.0,68719476736,16.0,false,17,17,1.0,prod-usw2-eks,payments,sysdig,2026-05-24 11:59:47
12,2026-05-24 11:59:47,565747185,1610612736,0.3513,0.031219,0.1439,0.45,0.3198,0,0,4,4,1.0,68719476736,16.0,false,8,8,1.0,prod-use2-eks,payments,sysdig,2026-05-24 11:59:47
13,2026-05-24 11:59:47,632530654,1073741824,0.5891,0.048213,0.3179,1.0,0.3179,0,0,2,2,1.0,68719476736,16.0,false,13,13,1.0,prod-use2-eks,identity,sysdig,2026-05-24 11:59:47
14,2026-05-24 11:59:47,751619276,1073741824,0.7,0.01543,0.2671,0.6,0.4451,0,0,5,5,1.0,68719476736,16.0,false,9,9,1.0,prod-use2-eks,checkout,sysdig,2026-05-24 11:59:47
15,2026-05-24 11:59:47,1422023506,3221225472,0.4415,0.042181,0.5433,1.2,0.4527,0,0,5,5,1.0,68719476736,16.0,false,16,16,1.0,prod-use2-eks,search,sysdig,2026-05-24 11:59:47
16,2026-05-24 11:59:47,574250004,1395654656,0.4115,0.016627,0.6,1.0,0.6,0,0.0,3,3,1.0,68719476736,16.0,false,14,14,1.0,prod-use2-eks,ledger,sysdig,2026-05-24 11:59:47
17,2026-05-24 11:59:47,567667799,1207959552,0.4699,-0.004981,0.2197,0.6,0.3661,0,0,2,2,1.0,68719476736,16.0,false,17,17,1.0,prod-usw2-eks,payments,sysdig,2026-05-24 11:59:47
