id,correlation_id,source_agent_id,target_agent_id,message_type,message_data,priority,processing_time_ms,success,error_message,retry_count,sent_at,processed_at,environment
1,2132436b-df4e-caa3-74a7-47874198d633,worker-prod-use2-eks-03,worker-dr-use1-eks-00,ack,"{""type"":""ack"",""pod"":""image-resizer-9683178-b7560"",""prob"":0.866}",high,173,false,target unavailable,1,2026-06-02 13:37:59,2026-06-02 13:37:59,prod
2,4d9b1589-6b96-ba16-74d3-89243d58f2a5,worker-staging-use2-eks-00,worker-dr-use1-eks-02,escalation,"{""type"":""escalation"",""pod"":""checkout-web-2e5d994-d724e"",""prob"":0.327}",low,40,true,,0,2026-06-03 15:19:15,2026-06-03 15:19:16,staging
3,74a9095b-fea8-04bc-d832-201658e7b549,cluster_manager-prod-usw2-eks-01,strategist-dr-use1-eks-00,heartbeat,"{""type"":""heartbeat"",""pod"":""config-svc-027a395-39a4d"",""prob"":0.619}",low,51,true,,0,2026-06-04 06:23:04,2026-06-04 06:23:04,prod
4,fdd4e3bf-e844-8cb4-f86f-ece2f0fb0180,worker-prod-use2-eks-02,worker-prod-usw2-eks-03,ack,"{""type"":""ack"",""pod"":""payments-api-7fa4649-debd8"",""prob"":0.17}",critical,505,true,,0,2026-06-04 06:09:19,2026-06-04 06:09:19,prod
5,6b4f4ef6-a6c7-6941-1c79-45822ad5dbc4,cluster_manager-staging-use2-eks-01,worker-prod-use2-eks-01,heartbeat,"{""type"":""heartbeat"",""pod"":""orders-worker-f884840-8265c"",""prob"":0.384}",normal,605,true,,0,2026-06-12 03:12:57,2026-06-12 03:12:57,staging
6,79506fe6-3a11-18b6-e84c-d09232294002,worker-prod-use2-eks-01,worker-prod-usw2-eks-00,heartbeat,"{""type"":""heartbeat"",""pod"":""ledger-svc-e00a046-6e2d6"",""prob"":0.545}",high,783,false,target unavailable,2,2026-06-02 23:44:07,2026-06-02 23:44:08,prod
7,984f15fb-e145-3c5a-1dd5-8e62a1666407,worker-prod-use2-eks-01,cluster_manager-prod-usw2-eks-01,prediction,"{""type"":""prediction"",""pod"":""session-store-4732511-0dba8"",""prob"":0.363}",normal,762,true,,0,2026-06-06 21:30:57,2026-06-06 21:30:57,prod
8,19c56bd4-deb4-a8ba-6629-4118396346ab,worker-staging-use2-eks-03,worker-prod-use2-eks-00,escalation,"{""type"":""escalation"",""pod"":""orders-api-bfb2f93-32ad3"",""prob"":0.596}",low,384,true,,0,2026-06-20 14:31:14,2026-06-20 14:31:14,staging
9,890ee246-3bec-7efa-152e-d53fdf97facb,cluster_manager-staging-use2-eks-00,worker-staging-use2-eks-02,heartbeat,"{""type"":""heartbeat"",""pod"":""checkout-web-c2eb578-2d181"",""prob"":0.29}",normal,528,true,,0,2026-06-19 09:31:16,2026-06-19 09:31:16,staging
10,87940bc4-7251-3c18-d855-c84dc644ddf4,worker-staging-use2-eks-03,worker-dr-use1-eks-03,heartbeat,"{""type"":""heartbeat"",""pod"":""checkout-web-f628153-c1833"",""prob"":0.855}",critical,440,true,,0,2026-05-28 15:32:18,2026-05-28 15:32:18,staging
