id,timestamp,source,reason,metric_name,raw_value,pod_name,namespace,count,created_at
1,2026-06-04 06:30:18,prometheus,out_of_range,container_memory_rss,1e309,checkout-web-ec64e26-f37ce,checkout,5,2026-06-23 12:00:00
2,2026-06-18 21:58:54,sysdig,null_value,process_open_fds,null,coredns-37f1521-4cd3d,kube-system,2,2026-06-23 12:00:00
3,2026-05-25 23:26:04,cloudwatch,out_of_range,tcp_established,1e309,coredns-e513a45-fb7bf,kube-system,8,2026-06-23 12:00:00
4,2026-06-02 08:10:42,sysdig,stale_timestamp,go_gc_duration_seconds,,inventory-svc-1d6f570-1b50d,inventory,20,2026-06-23 12:00:00
5,2026-06-01 01:40:08,prometheus,null_value,http_requests_total,NaN,search-api-1271443-2f040,search,12,2026-06-23 12:00:00
6,2026-06-16 00:44:49,sysdig,stale_timestamp,container_network_receive_bytes_total,NaN,coredns-47d4438-c55d7,kube-system,11,2026-06-23 12:00:00
7,2026-05-30 00:11:23,cloudwatch,negative_value,kube_pod_container_status_restarts_total,-1,auth-gateway-41b4f33-14ef9,identity,11,2026-06-23 12:00:00
8,2026-05-25 04:57:33,sysdig,out_of_range,go_gc_duration_seconds,null,auth-gateway-7b28269-a7447,identity,23,2026-06-23 12:00:00
9,2026-06-11 10:44:51,prometheus,stale_timestamp,tcp_established,null,session-store-28ebc77-cf7c8,identity,12,2026-06-23 12:00:00
10,2026-05-31 09:40:06,sysdig,out_of_range,container_fs_usage_bytes,null,payments-api-1ce3577-591ac,payments,7,2026-06-23 12:00:00
11,2026-06-03 11:52:05,cloudwatch,nan,container_memory_rss,NaN,auth-gateway-d4d3364-aac01,identity,1,2026-06-23 12:00:00
12,2026-06-13 08:03:44,sysdig,negative_value,container_memory_rss,NaN,orders-api-402bb51-ad48f,orders,7,2026-06-23 12:00:00
13,2026-06-05 08:37:32,cloudwatch,stale_timestamp,process_open_fds,null,payments-worker-7a57672-86691,payments,27,2026-06-23 12:00:00
14,2026-06-21 15:02:00,prometheus,null_value,container_cpu_usage_seconds_total,-1,ledger-svc-1232e29-49ea1,ledger,24,2026-06-23 12:00:00
15,2026-06-11 01:23:23,cloudwatch,stale_timestamp,http_request_duration_ms,,indexer-b957537-8aa20,search,14,2026-06-23 12:00:00
16,2026-05-27 10:13:46,sysdig,null_value,container_memory_rss,-1,config-svc-370d832-a686a,platform,30,2026-06-23 12:00:00
17,2026-06-09 07:12:21,sysdig,null_value,container_memory_working_set_bytes,,auth-gateway-d4d3364-aac01,identity,13,2026-06-23 12:00:00
18,2026-06-18 20:40:41,prometheus,null_value,container_memory_rss,NaN,session-store-4732511-0dba8,identity,30,2026-06-23 12:00:00
19,2026-06-02 23:50:50,cloudwatch,out_of_range,http_requests_total,NaN,checkout-web-c2eb578-2d181,checkout,30,2026-06-23 12:00:00
20,2026-06-23 00:19:21,sysdig,out_of_range,container_memory_rss,-1,checkout-web-c343d41-6a8d2,checkout,8,2026-06-23 12:00:00
21,2026-05-25 22:42:22,prometheus,out_of_range,http_requests_total,,auth-gateway-ebb2b70-575e4,identity,2,2026-06-23 12:00:00
22,2026-06-07 09:43:04,prometheus,negative_value,http_request_duration_ms,-1,indexer-b07f520-eaf04,search,7,2026-06-23 12:00:00
